Unnamed: 0.1,Unnamed: 0,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
93,FRC,FireRoosterCoin,SHA-256,True,PoW,0.0,2602410
94,FLT,FlutterCoin,Scrypt,True,PoS/PoW/PoT,461829905.32893,0
95,FRK,Franko,Scrypt,True,PoW,1142732.14912776,11235813
96,FRAC,FractalCoin,X11,True,PoW,,1000000
97,FSTC,FastCoin,Scrypt,False,PoW,,165888000
98,FTC,FeatherCoin,NeoScrypt,True,PoW,208669093.00773,336000000
99,GDC,GrandCoin,Scrypt,True,PoW,884125802.0,1420609614
100,GLC,GlobalCoin,Scrypt,True,PoW,65672720.4708748,70000000
101,GLD,GoldCoin,Scrypt,True,PoW,41658647.9999715,72245700
102,GLX,GalaxyCoin,Scrypt,True,PoW/PoS,,538214400
103,GLYPH,GlyphCoin,X11,True,PoW/PoS,0.0,7000000
104,GML,GameLeagueCoin,Scrypt,True,PoW/PoS,,500000000
105,GUE,GuerillaCoin,X11,True,PoW/PoS,,19500000
106,HAL,Halcyon,X15,True,PoW/PoS,0.0,0
107,HBN,HoboNickels,Scrypt,True,PoW/PoS,89266933.684704,120000000
108,HUC,HunterCoin,Multiple,True,PoW,0.0,42000000
109,HVC,HeavyCoin,Multiple,True,PoW,,128000000
110,HYP,HyperStake,X11,True,PoS,1678520090.7713,0
111,ICB,IceBergCoin,NIST5,True,PoW/PoS,,8750000
112,IFC,Infinite Coin,Scrypt,True,PoW,90595753018.6314,90600000000
113,IOC,IOCoin,X11,True,PoW/PoS,17650913.9743456,22000000
114,IXC,IXcoin,SHA-256,True,PoW,21089348.999,21000000
115,JBS,JumBucks Coin,X11,True,PoW/PoS,0.0,3293010
116,JKC,JunkCoin,Scrypt,True,PoW,,107000000
117,JUDGE,JudgeCoin,X13,True,PoW/PoS,0.0,21600000
118,KDC,Klondike Coin,Scrypt,True,PoW,,20000000
119,KEYC,KeyCoin,X13,False,PoW/PoS,,1000000
120,KGC,KrugerCoin,Scrypt,True,PoW,151447649.8,265420800
121,LK7,Lucky7Coin,Scrypt,True,PoW/PoS,,99792000
122,LKY,LuckyCoin,Scrypt,True,PoW,19326319.14375,20000000
123,LSD,LightSpeedCoin,NIST5,True,PoW/PoS,,900000
124,LTB,Litebar ,Scrypt,True,PoW,1104344.22938102,1350000
125,LTCD,LitecoinDark,Scrypt,True,PoW,0.0,82003200
126,LTCX,LitecoinX,X11,True,PoW,,84000000
127,LXC,LibrexCoin,X11,True,PoW/PoS,0.0,1000000
128,LYC,LycanCoin,Scrypt,True,PoW,,4950000000
129,MAX,MaxCoin,SHA3,True,PoW/PoS,61445805.0,100000000
130,MEC,MegaCoin,Scrypt,True,PoW,38151999.9930997,42000000
131,MED,MediterraneanCoin,HybridScryptHash256,True,PoW,40431856.9,200000000
132,MINRL,Minerals Coin,X11,False,PoW/PoS,,1000000
133,MINT,MintCoin,Scrypt,True,PoS,21293925445.4969,0
134,MN,Cryptsy Mining Contract,SHA-256,True,PoW,,0
135,MINC,MinCoin,Scrypt,True,PoW,5804204.88794916,10000000
136,MRY,MurrayCoin,Scrypt,True,PoW,,58000000
137,MZC,MazaCoin,SHA-256,True,PoW/PoS,1613836099.99999,2419200000
138,NAN,NanoToken,Scrypt,True,PoW,,80000000
139,NAUT,Nautilus Coin,Scrypt,True,PoS,16180000.0,16180000
140,NAV,NavCoin,X13,True,PoW/PoS,66087096.2077108,0
141,NBL,Nybble,Scrypt,True,PoW,,210000000
142,NMB,Nimbus Coin,X15,True,PoW/PoS,,25000000
143,NRB,NoirBits,SHA-256,True,PoW,0.0,50000000
144,NOBL,NobleCoin,Scrypt,True,PoW,2366066305.76482,15000000000
145,NRS,NoirShares,Scrypt,True,PoW/PoS,,5000000
146,NMC,Namecoin,SHA-256,True,PoW,14736400.0,21000000
147,NYAN,NyanCoin,Scrypt,True,PoW,334709223.483138,337000000
148,OPAL,OpalCoin,X13,True,PoW/PoS,15156364.3306548,0
149,ORB,Orbitcoin,NeoScrypt,True,PoW/PoS,3220616.279225,3770000
150,PHS,PhilosophersStone,Scrypt,True,PoW,,8891840
151,POT,PotCoin,Scrypt,True,PoW/PoS,222677226.014206,420000000
152,PSEUD,PseudoCash,X13,True,PoW/PoS,,2200000
153,PXC,PhoenixCoin,Scrypt,True,PoW/PoS,73959274.625,98000000
154,PYC,PayCoin,Scrypt,True,PoW/PoS,,30000000
155,RDD,Reddcoin,Scrypt,True,PoW/PoS,29315567169.0888,0
156,RIPO,RipOffCoin,Scrypt,True,PoW,0.0,12000000
157,RPC,RonPaulCoin,Scrypt,True,PoW,1104157.42169891,21000000
158,RT2,RotoCoin,Scrypt-n,True,PoW/PoS,,288000
159,RYC,RoyalCoin,Scrypt,True,PoW,,140000000
160,RZR,RazorCoin,Scrypt,True,PoW,,4000000
161,SAT2,Saturn2Coin,Scrypt,True,PoW,,15000000000
162,SBC,StableCoin,Scrypt,True,PoW,24215181.725,250000000
163,SFR,SaffronCoin,Multiple,True,PoW,,111000000
164,SHADE,ShadeCoin,Scrypt,True,PoW/PoS,,2000000
165,SHLD,ShieldCoin,X15,True,PoW/PoS,0.0,1000000
166,SILK,SilkCoin,Scrypt,True,PoW/PoS,0.0,1000000
167,SLG,SterlingCoin,X13,True,PoS,,0
168,SMC,SmartCoin,Scrypt,True,PoW,25593737.1355044,51200000
169,SOLE,SoleCoin,X15,True,PoW/PoS,,1200000
170,SPA,SpainCoin,Scrypt-n,True,PoW,0.0,50000000
171,SPOTS,Spots,Scrypt,True,PoW,,100000000
172,SRC,SecureCoin,Scrypt,True,PoW,0.0,21000000
173,SSV,SSVCoin,X13,True,PoW,,21000000
174,SUPER,SuperCoin,X11,True,PoS,50707661.7493518,0
175,SYNC,SyncCoin,X11,True,PoW/PoS,1177.0,1000
176,SYS,SysCoin,SHA-256,True,PoW,563336541.299966,888000000
